Soil evaporation,Lakes,Precipitation,Soil moisture,NDVI,Elevation,Aspect,Curvature,Plan curvature,Profile curvature,Distance to river,Slope,dust_storm,Bare Soil,Cropland,Natural vegetation,Clay Loam,Loam,Loam Sand,Sand,Sand Clay Loam,Sand Loam
0.39434781670570374,0.0,208.83221435546875,0.1383189707994461,0.12290000170469284,259.0,53.74616241455078,9913623.0,-6196014.5,3717608.75,21.34715461730957,0.16343331336975098,0.0,True,False,False,False,False,False,True,False,False
0.4463043510913849,0.0,165.9794158935547,,0.1363999992609024,37.0,333.4349365234375,-2478405.75,1549003.625,-929402.1875,4.773369312286377,0.05863366648554802,0.0,False,False,False,False,False,False,False,False,True
0.2928260862827301,0.0,113.75614166259766,0.13430745899677277,0.1348000019788742,789.0,15.64224624633789,1239202.875,-1775074.375,-535871.5,212.6695098876953,0.1702335625886917,0.0,True,False,False,False,False,False,False,False,True
0.571739137172699,0.0,528.064208984375,0.2041436731815338,0.24605000019073486,1765.0,25.18706703186035,152421952.0,15846106.0,168268064.0,19.681102752685547,11.268714904785156,0.0,False,True,False,False,True,False,False,False,False
0.8447825908660889,0.0,520.9672241210938,0.21360057592391968,0.17339999973773956,1037.0,67.6070327758789,-268907040.0,214458496.0,-54448536.0,9.546738624572754,1.192137598991394,0.0,False,False,True,False,True,False,False,False,False
0.5028260946273804,0.0,720.5911254882812,0.23954884707927704,0.2775000035762787,1051.0,297.4075622558594,-21066450.0,13122775.0,-7943674.0,10.673577308654785,0.47136586904525757,0.0,False,True,False,True,False,False,False,False,False
0.2636956572532654,0.0,167.61207580566406,0.1292787343263626,0.09245000034570694,16.0,71.56504821777344,1239202.875,-1239202.875,-0.0,6.750563144683838,0.016887780278921127,0.0,True,False,False,False,False,False,False,True,False
0.19152173399925232,0.0,83.98906707763672,0.14325286448001862,0.12815000116825104,411.0,71.56504821777344,3717608.75,-2478405.75,1239202.875,290.3526916503906,0.07371401786804199,0.0,True,False,False,False,False,False,True,False,False
0.5980435013771057,0.0,356.20721435546875,0.1476522982120514,0.11739999800920486,161.0,202.619873046875,-11152826.0,4956811.5,-6196014.5,28.640213012695312,0.19228705763816833,0.0,False,False,True,False,False,False,False,False,True
0.4115217328071594,0.0,98.7696304321289,0.1538362056016922,0.10450000315904617,573.0,30.963756561279297,8674420.0,-3959404.5,4715016.0,206.08575439453125,0.24003396928310394,0.0,True,False,False,False,False,False,True,False,False
0.4910869598388672,0.0,311.9961853027344,0.16366666555404663,0.1780499964952469,189.0,289.98309326171875,-6196014.5,2612373.75,-3583640.75,19.093477249145508,0.1533115953207016,0.0,False,False,True,False,True,False,False,False,False
0.5747826099395752,0.0,311.4232482910156,0.16352011263370514,0.1051499992609024,367.0,12.449995994567871,1239202.875,-4932466.0,-3693263.0,9.546738624572754,0.5630171895027161,0.0,False,False,True,False,False,False,False,False,True
0.22652174532413483,0.0,62.611663818359375,0.1295545995235443,0.11509999632835388,601.0,18.434947967529297,-7435217.5,1239202.875,-6196014.5,265.94134521484375,0.08520805835723877,0.0,True,False,False,False,False,True,False,False,False
0.31913042068481445,0.0,163.69822692871094,0.12854596972465515,0.13009999692440033,466.0,84.17366027832031,-9913623.0,9913623.0,-0.0,109.89120483398438,0.29642707109451294,0.0,True,False,False,False,False,True,False,False,False
0.5576087236404419,0.0,523.0482788085938,0.2077385038137436,0.2700999975204468,1338.0,13.065220832824707,-244122976.0,194153984.0,-49968996.0,14.320106506347656,12.554461479187012,0.0,False,False,True,False,True,False,False,False,False
0.6056521534919739,1.0,287.5854797363281,,0.03550000116229057,111.0,74.98163604736328,-18588044.0,15118275.0,-3469768.25,0.0,0.47842586040496826,0.0,True,False,False,False,True,False,False,False,False
0.4508695602416992,0.0,415.0879211425781,0.1894080489873886,0.25859999656677246,350.0,170.21759033203125,-4956811.5,-1437475.375,-6394287.0,17.21062660217285,0.2002951055765152,0.0,False,True,False,True,False,False,False,False,False
0.6667391061782837,0.0,798.1436157226562,0.24668391048908234,0.2378000020980835,2132.0,227.7898712158203,271385440.0,-15457972.0,255927456.0,9.546738624572754,8.95144271850586,0.0,False,False,True,False,True,False,False,False,False
0.354347825050354,0.0,206.504150390625,0.1507471352815628,0.14624999463558197,8.0,18.434947967529297,1239202.875,-1239202.875,-0.0,9.546738624572754,0.022239303216338158,0.0,False,True,False,False,True,False,False,False,False
0.35260871052742004,0.0,136.73524475097656,0.1442902386188507,0.16019999980926514,9.0,30.963756561279297,1239202.875,-495681.15625,743521.75,33.75281524658203,0.04146144911646843,0.0,False,False,True,False,True,False,False,False,False
0.3854347765445709,0.0,147.0550537109375,0.14203734695911407,0.10554999858140945,665.0,310.515380859375,-0.0,1858804.375,1858804.375,147.43450927734375,0.4634073078632355,0.0,True,False,False,False,False,True,False,False,False
0.7228888869285583,0.0,717.0004272460938,0.253385066986084,0.446399986743927,1310.0,353.3248291015625,-462222688.0,368333696.0,-93889000.0,19.093477249145508,7.022960662841797,0.0,False,False,True,False,True,False,False,False,False
0.5071738958358765,0.0,466.9849853515625,0.1862327605485916,0.39169999957084656,429.0,68.49856567382812,-4956811.5,-4038092.25,-8994904.0,41.062068939208984,0.1993115395307541,0.0,False,True,False,True,False,False,False,False,False
0.22717390954494476,0.0,129.5801239013672,0.12420402467250824,0.07864999771118164,47.0,293.1985778808594,-8674420.0,8922261.0,247840.578125,51.41075897216797,0.16414733231067657,0.0,True,False,False,False,False,False,True,False,False
