Soil_evaporation,Lakes,Precipitation,Soil_moisture,NDVI,Elevation,Aspect,Curvature,Plan_curvature,Profile_curvature,Distance_to_river,Slope,dust_storm,Bare_Soil,Cropland,Natural_vegetation,Clay_Loam,Loam,Loam_Sand,Sand,Sand_Clay_Loam,Sand_Loam
0.35149926739110215,0.0,0.17599971940782705,0.2638610641007597,0.29220584723730986,0.07844932844932845,0.14965035782081937,0.5492610689036609,0.5786357547701174,0.6323375137847096,0.05788960665474674,0.007163687897368043,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.24036172722868415,0.0,0.08355347820941839,0.24075760280391478,0.31011135512902865,0.24023199023199024,0.04355413749972384,0.5435139425363695,0.5836095286704316,0.6286064456378242,0.5767210897921571,0.007466069206807172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5456925196212052,0.0,0.48640166532166795,0.6429646386801554,0.4775052774012877,0.5381562881562881,0.07013065537037132,0.6436781438611101,0.6034342185698234,0.7766778953202205,0.05337157655478733,0.5009734706255244,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8445977655671265,0.0,0.4795009850992975,0.6974296875804563,0.3681914012271149,0.3159340659340659,0.18824444744681973,0.36453199641445444,0.8268828728673123,0.5813153302671422,0.025889021451321048,0.05290626863183843,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4702522567170415,0.0,0.6736032319850389,0.8468733157802594,0.524826980833196,0.32020757020757024,0.8280990885808338,0.5287356168465517,0.6003703379772952,0.6221084688466618,0.02894480332737337,0.02085628156654553,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.20847215823963955,0.0,0.1359197417365071,0.21179571723302226,0.24638881134873897,0.004273504273504274,0.19926511200275993,0.5435139425363695,0.5842124103212258,0.6290765014431788,0.018306301338488613,0.0006473634566348562,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.12946215455960963,0.0,0.054609769462194764,0.29227679046504207,0.30010533502389547,0.12484737484737485,0.19926511200275993,0.5451559787241271,0.5828182464686065,0.6301635055204733,0.7873837713790112,0.0031742108675851858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5744883480712746,0.0,0.319298284553935,0.3176144067942068,0.28393018695957783,0.048534798534798536,0.5641730523789859,0.5353037619288505,0.5911832295843223,0.6236414809470593,0.07766705659538847,0.008446704547670287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3702998412438072,0.0,0.0689814981865366,0.3532293250762941,0.26452002273514563,0.1742979242979243,0.08621522059810714,0.5484400507683735,0.5811520504286527,0.6332124195562711,0.5588671405121322,0.010569828745038888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.45740122907404557,0.0,0.27631014527054415,0.40984579841885027,0.3751880862455732,0.05708180708180709,0.8074264602165449,0.5385878341387312,0.5885456224324134,0.6259330031626342,0.051778042902642096,0.006713613457607737,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.549024260278626,0.0,0.2757530558612251,0.40900175759593826,0.2654980487908781,0.11141636141636142,0.03466566303067691,0.5435139425363695,0.5800573086417797,0.6258368447085859,0.025889021451321048,0.024931668423627276,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
