Soil evaporation,Soil eva avr,Soil eva var,Lakes,Lake entropy,land entropy,Precipitation,Precicpt avr,Precicpt var,Soil moisture,Soil moist avr,Soil moist var,NDVI,NDVI avr,NDVI var,Elevation,Elevation avr,Elevation var,soil entropy,Aspect,Aspect avr,Aspect var,Curvature,Curvature avr,Curvature var,Plan curvature,Plan curv avr,Plan curv var,Profile curvature,Profile curv avr,Profile curv var,Distance to river,Dist river avr,Dist river var,Slope,Slope avr,Slope var,dust_storm,Bare Soil,Cropland,Natural vegetation,Clay Loam,Loam,Loam Sand,Sand,Sand Clay Loam,Sand Loam
0.5747826,0.587923,1.1e-05,0.0,-0.0,-0.0,311.42325,311.42328,0.0,0.16352011,0.167224,5e-06,0.10515,0.116294,8e-06,367.0,355.0,72.22222,-26.556473,12.449996,140.27766,21322.012,1239202.9,3166851.8,453217600000000.0,-4932466.0,-3414054.0,157000000000000.0,-3693263.0,-247201.5,92910740000000.0,9.546739,9.546739,0.0,0.5630172,0.463015,0.033678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.22652175,0.22814,0.0,0.0,-0.0,-15.509775,62.611664,62.611668,0.0,0.1295546,0.137813,5.4e-05,0.1151,0.120489,1.8e-05,601.0,617.3333,54.88889,-43.01955,18.434948,110.473145,2035.5651,-7435217.5,1514581.5,222760240000000.0,1239202.9,-297026.12,64932440000000.0,-6196014.5,1217555.1,90583730000000.0,265.94135,269.30316,0.603654,0.08520806,0.333747,0.022274,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.31913042,0.322947,3e-06,0.0,-0.0,-15.509775,163.69823,162.7688,1.727692,0.12854597,0.132463,2.1e-05,0.1301,0.124339,6e-06,466.0,473.33334,1.777778,-38.605503,84.17366,46.948807,400.19836,-9913623.0,1376892.1,7317912000000.0,9913623.0,-1281550.5,2427172400000.0,-0.0,95341.57,1768830800000.0,109.891205,109.891205,0.0,0.29642707,0.146193,0.004946,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5576087,0.576884,0.000778,0.0,-0.0,-0.0,523.0483,523.8187,0.0,0.2077385,0.19107,8.2e-05,0.2701,0.229544,0.000381,1338.0,1129.4445,8284.247,-11.883828,13.065221,137.17294,20547.445,-244122980.0,-177068340.0,3.8349797e+16,194153980.0,192120750.0,1.6254237e+16,-49968996.0,15052420.0,1.2228151e+16,14.3201065,14.320106,0.0,12.5544615,6.675344,17.547855,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.60565215,0.5307,0.001724,1.0,-0.0,-12.063158,287.58548,299.05295,0.0,,0.175315,8e-05,0.0355,0.085939,0.000512,111.0,119.22222,64.61729,-13.275975,74.981636,128.64735,7279.4546,-18588044.0,8674420.0,667484400000000.0,15118275.0,-2081240.0,260721190000000.0,-3469768.2,6593180.5,144865860000000.0,0.0,3.182246,5.063346,0.47842586,0.295274,0.023622,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.45086956,0.416908,0.003001,0.0,-0.0,-4.754888,415.08792,415.08792,0.0,0.18940805,0.184905,5e-05,0.2586,0.224833,0.000258,350.0,359.0,15.555556,-9.294609,170.21759,176.92607,1062.0181,-4956811.5,-1376892.0,23015400000000.0,-1437475.4,1271008.9,13200813000000.0,-6394287.0,-105883.22,6826788000000.0,17.210627,14.737627,3.057865,0.2002951,0.269152,0.010525,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6667391,0.668454,0.003025,0.0,-0.0,-0.0,798.1436,770.3505,0.0,0.24668391,0.24366,6.3e-05,0.2378,0.223139,0.000278,2132.0,1875.1111,8659.877,-18.356874,227.78987,272.97766,1355.4418,271385440.0,22030276.0,1.95061e+16,-15457972.0,-357932.62,3776454100000000.0,255927460.0,21672344.0,9905589000000000.0,9.546739,4.77337,0.0,8.951443,5.540234,0.899213,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.35434783,0.374082,0.000339,0.0,-0.0,-1.584963,206.50415,193.7575,0.0,0.15074714,0.155264,1.5e-05,0.14625,0.144817,3.3e-05,8.0,8.0,0.222222,-15.459474,18.434948,94.535576,5713.0757,1239202.9,137689.2,6635411500000.0,-1239202.9,0.0,682499500000.0,-0.0,137689.2,151666540000.0,9.546739,9.546739,0.0,0.022239303,0.015839,9.4e-05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3526087,0.355628,1.5e-05,0.0,-0.0,-10.33985,136.73524,141.40393,43.593353,0.14429024,0.13194,1.3e-05,0.1602,0.132122,0.000231,9.0,8.333333,0.444444,-14.847276,30.963757,79.7025,701.61566,1239202.9,413067.66,5118747000000.0,-495681.16,-206533.83,703827600000.0,743521.75,206533.83,2239451000000.0,33.752815,34.96673,5.189042,0.04146145,0.033577,2.4e-05,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.38543478,0.387585,2e-06,0.0,-0.0,-15.509775,147.05505,169.48114,0.0,0.14203735,0.145238,1.1e-05,0.10555,0.112467,1.2e-05,665.0,653.3333,105.111115,-41.364285,310.51538,107.40207,15180.524,-0.0,-7297529.0,683333600000000.0,1858804.4,5586656.0,111026826000000.0,1858804.4,-1710872.5,358819520000000.0,147.43451,146.9327,0.881361,0.4634073,0.382904,0.015141,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
