Soil evaporation,Soil evaporation wmean,Lakes,Precipitation,Precipitation wmean,Soil moisture,Soil moisture wmean,NDVI,NDVI wmean,Elevation,Elevation wmean,Aspect,Aspect wmean,Curvature,Curvature wmean,Plan curvature,Plan curvature wmean,Profile curvature,Profile curvature wmean,Distance to river,Distance to river wmean,Slope,Slope wmean,dust_storm,Year,X,Y,Bare Soil,Cropland,Natural vegetation,Clay Loam,Loam,Loam Sand,Sand,Sand Clay Loam,Sand Loam
0.39434782,0.3940263386247155,0,208.83221,209.03346846791246,0.13831897,0.1369801277288633,0.1229,0.11962089773079862,259,252.98240082549873,53.746162,106.18979385829815,9913623.0,2195339.3834293545,-6196014.5,-665037.4819989442,3717608.8,1530301.8872511084,21.347155,21.88530359586736,0.16343331,0.21383585844434944,0,2001,40.596947708615744,34.552561315196655,True,False,False,False,False,False,True,False,False
0.44630435,0.4452504977962024,0,165.97942,165.77077981618933,,0.15450442754305327,0.1364,0.13477187879513974,37,37.36258885576703,333.43494,171.30470049309272,-2478405.8,905083.1770690021,1549003.6,-821563.917605385,-929402.2,66469.93227375225,4.7733693,3.888236395401354,0.058633666,0.050627391192619865,0,2001,44.489356744571296,33.32944869531205,False,False,False,False,False,False,False,False,True
0.2928261,0.2923434386728171,0,113.75614,113.68180382219849,0.13430746,0.13512686140841548,0.1348,0.13386099359448703,789,787.6672399296798,15.642246,119.03774228197514,1239202.9,-460592.66628449137,-1775074.4,510698.20009282674,-535871.5,16006.817997353452,212.66951,211.42340593251268,0.17023356,0.1326599148899954,0,2001,39.45955711789502,33.02550026634183,True,False,False,False,False,False,False,False,True
0.57173914,0.5691091382354532,0,528.0642,510.143486874353,0.20414367,0.21313076208033696,0.24605,0.3163746736711941,1765,1582.9407246044486,25.187067,138.16781634290737,152421950.0,74372941.05264466,15846106.0,-76188409.17235617,168268060.0,-1815472.3038293922,19.681103,20.740823196105556,11.268715,8.268669473205074,0,2001,43.4117527729885,37.00265251308679,False,True,False,False,True,False,False,False,False
0.8447826,0.8117366321046062,0,520.9672,520.9672241210938,0.21360058,0.1994394160174841,0.1734,0.1928279832834672,1037,1131.8324543300466,67.60703,144.15816979178467,-268907040.0,-35974602.73362379,214458500.0,63954903.0418243,-54448536.0,27980298.245165482,9.546739,8.722900979755615,1.1921376,4.76583578038756,0,2001,38.557663843564,39.573325059183816,False,False,True,False,True,False,False,False,False
0.5028261,0.5284934406669408,0,720.5911,722.020977194918,0.23954885,0.23420378703868816,0.2775,0.2876595218000241,1051,1062.8333906596347,297.40756,280.7180916522973,-21066450.0,-14903633.661363982,13122775.0,10295694.922459012,-7943674.0,-4607938.687447451,10.673577,9.879405224613937,0.47136587,1.0772041626707962,0,2001,39.977821878316995,38.85927316981531,False,True,False,True,False,False,False,False,False
0.26369566,0.2653083525484721,0,167.61208,173.51973567205422,0.12927873,0.1266453555391249,0.09245,0.11520357014456035,16,16.09814262783765,71.56505,132.31486750731523,1239202.9,-547118.0602260567,-1239202.9,374309.97680673393,-0.0,10472.319444842558,6.750563,7.994594679343121,0.01688778,0.017685156225648667,0,2001,44.88840896688038,31.559604796418142,True,False,False,False,False,False,False,True,False
0.19152173,0.19035806067172317,0,83.98907,82.95364765638716,0.14325286,0.14056961752088767,0.12815,0.13010090968729565,411,410.1438507987465,71.56505,77.73290131258452,3717608.8,-232155.1847722234,-2478405.8,81788.29601510543,1239202.9,-150366.90070487463,290.3527,291.8329371273231,0.07371402,0.06420481299022888,0,2001,45.237228056322294,28.49175593604659,True,False,False,False,False,False,True,False,False
0.5980435,0.5928999579304504,0,356.2072,356.20721435546875,0.1476523,0.1470806557999208,0.1174,0.10793419673481927,161,165.76188565313763,202.61987,247.50742244596537,-11152826.0,-427417.49970859144,4956811.5,359163.617082999,-6196014.5,-68253.80741229068,28.640213,28.39430224336926,0.19228706,0.21806310391907643,0,2001,42.95330922956102,35.44701875842419,False,False,True,False,False,False,False,False,True
0.41152173,0.4126761149064641,0,98.76963,98.7696304321289,0.1538362,0.16268977006383512,0.1045,0.10779376502268327,573,572.7168845066117,30.963757,71.17106783712828,8674420.0,-1838676.6414813118,-3959404.5,1234193.2316278163,4715016.0,-604483.5074506277,206.08575,205.7157402502181,0.24003397,0.2989402058060441,0,2001,38.273334577917545,34.03467461072414,True,False,False,False,False,False,True,False,False
0.49108696,0.45388060697416804,0,311.9962,314.0723550363955,0.16366667,0.16348149205726412,0.17805,0.17903013965356274,189,190.48950928686082,289.9831,269.81409077686993,-6196014.5,-69357.65360582447,2612373.8,-55579.85351472925,-3583640.8,-124937.52809287344,19.093477,16.712051038884937,0.1533116,0.14115924781300412,0,2001,44.54113012434664,34.88777142024141,False,False,True,False,True,False,False,False,False
0.5747826,0.5696491961788348,0,311.42325,311.4232482910156,0.16352011,0.16694883840788002,0.10515,0.1060892975465093,367,363.2965107391271,12.449996,217.11137335961777,1239202.9,792486.4204502024,-4932466.0,-1387848.973554959,-3693263.0,-595362.466481133,9.546739,11.04259313447645,0.5630172,0.4369482604522939,0,2001,38.954979645122634,35.845154971363016,False,False,True,False,False,False,False,False,True
0.22652175,0.22727835065133023,0,62.611664,62.611663818359375,0.1295546,0.13040072178657602,0.1151,0.12026940446854124,601,606.4821141939922,18.434948,124.46378196196063,-7435217.5,-4398303.587288848,1239202.9,3748478.234086876,-6196014.5,-649825.3858585571,265.94135,267.38598643017684,0.08520806,0.3034308115214731,0,2001,40.95170241864865,31.772754989339916,True,False,False,False,False,True,False,False,False
