FID,X_utm,Y_utm,Altitute,Slope,Slope_Aspect,Topography curverture,Distance from fault,Fault density,Distance from Lineanment,Lineanment density,Distance from river,River density,Distance from road,Spring density,Precipitation,Geology,Land-use,NDVI,Target
827,228028.6864,4049714.092,5,3,7,1,1,5,2,2,4,4,5,5,4,6,16,3,1
829,227463.9945,4049176.552,5,4,7,1,1,5,4,1,5,4,5,5,4,3,16,3,1
683,241431.4817,4058340.477,5,5,3,2,1,4,2,1,1,5,5,5,5,4,16,3,1
637,243791.4918,4059102.651,4,5,5,1,1,4,2,1,5,5,5,5,5,4,16,3,1
984,322845.2339,4036417.939,5,3,4,3,1,1,2,2,5,5,5,5,5,4,16,3,1
807,302857.8103,4074871.532,5,4,6,2,4,4,2,5,4,2,3,1,3,4,13,4,1
871,315655.7482,4104618.207,4,4,6,2,1,1,3,5,1,2,4,1,5,4,13,4,1
558,313931.5587,4112704.201,5,2,9,1,1,3,4,5,1,1,5,1,5,4,13,4,1
994,314426.433,4112755.011,5,4,3,2,1,3,2,5,5,1,5,1,5,4,13,4,1
520,320240.0749,4106400.354,5,4,5,3,1,1,2,5,3,2,5,1,5,4,13,4,1
851,315336.9309,4105858.574,5,5,7,3,1,1,2,5,3,2,5,1,5,4,13,4,1
626,234134.5939,4063592.777,5,5,7,2,1,4,2,5,5,3,2,4,5,4,13,4,1
707,228249.0566,4062173.036,4,5,6,1,1,5,2,5,1,4,5,4,4,5,13,4,1
821,227156.878,4063781.489,4,5,6,2,1,5,2,2,5,4,5,4,4,5,13,4,1
764,275715.9789,4104566.597,2,5,9,1,1,5,2,5,1,5,5,4,5,4,13,4,1
543,272757.9389,4103041.608,5,5,6,1,1,5,2,2,1,5,1,5,5,4,13,4,1
934,303031.4843,4112150.234,3,4,4,1,1,3,2,5,5,2,2,1,5,4,15,4,1
523,310570.5031,4107043.543,3,4,8,3,1,3,2,5,1,5,2,1,5,4,15,4,1
717,305162.9609,4112501.562,3,5,7,3,1,3,2,5,4,2,4,1,5,4,15,4,1
933,329926.1136,4084370.608,1,5,6,1,1,2,2,5,1,3,4,1,3,4,15,4,1
702,311109.9792,4113476.254,2,5,7,1,1,3,2,5,5,1,5,1,5,4,15,4,1
559,314338.8869,4108779.02,2,4,7,3,1,1,2,5,5,2,5,1,5,4,15,4,1
739,274022.4969,4109639.495,3,5,8,1,2,4,2,1,1,3,5,1,5,4,15,4,1
572,327061.4496,4087203.282,2,4,7,3,1,2,2,5,3,3,5,1,3,6,15,4,1
591,309837.2249,4104099.662,3,4,6,3,1,3,2,5,3,3,5,1,5,6,15,4,1
557,303412.8711,4110506.908,3,4,6,1,1,3,2,5,1,5,5,1,5,6,15,4,1
876,312124.2016,4113576.903,5,4,3,2,1,3,2,5,4,1,1,1,5,4,16,4,1
937,319491.781,4107217.998,5,5,7,2,1,1,2,5,5,1,1,1,5,4,16,4,1
597,313169.8901,4107293.872,5,4,3,3,1,1,2,5,1,2,1,1,5,4,16,4,1
658,309121.7,4075530.748,3,4,7,3,1,3,2,5,5,5,1,1,3,5,16,4,1
722,320074.3581,4103258.694,2,4,8,3,1,1,2,5,4,2,3,1,5,5,16,4,1
749,312209.0595,4108517.893,2,4,7,3,1,1,2,5,4,2,3,1,5,6,16,4,1
960,310879.0873,4072038.098,3,4,4,3,1,3,2,5,1,2,4,1,3,5,16,4,1
959,308107.1313,4072315.752,5,5,8,1,1,3,2,5,3,2,4,1,3,5,16,4,1
575,320797.1723,4103551.704,5,5,6,2,1,1,2,5,3,2,5,1,5,4,16,4,1
552,320398.0817,4103375.14,2,5,7,3,1,1,2,5,5,2,5,1,5,4,16,4,1
808,304309.013,4071106.938,2,4,7,3,1,4,2,5,5,2,5,1,2,4,16,4,1
623,305858.9596,4074895.167,2,4,3,1,1,5,2,5,5,2,5,1,3,5,16,4,1
878,308811.9696,4076092.723,3,4,8,2,1,3,2,5,3,5,5,1,3,5,16,4,1
863,258111.3487,4119983.909,2,4,8,3,1,3,2,2,4,2,2,4,5,5,16,4,1
544,272139.8882,4104878.174,2,5,6,3,1,4,2,2,3,5,2,4,5,4,16,4,1
580,272349.7532,4104409.789,2,4,8,2,1,4,2,2,5,5,4,4,5,4,16,4,1
779,266346.5724,4113488.751,2,3,6,3,4,4,2,2,5,3,5,4,5,4,16,4,1
541,303923.7589,4080243.358,2,4,2,2,1,5,2,5,4,5,4,1,3,5,11,5,1
525,302946.5191,4080851.854,2,4,3,3,1,5,2,5,4,5,5,1,3,5,11,5,1
616,292286.3823,4063372.712,5,3,4,3,1,5,5,5,5,5,2,4,1,5,11,5,1
636,232700.2458,4070178.797,5,5,7,1,1,4,2,2,4,5,5,4,4,4,11,5,1
657,247898.1367,4059258.59,5,3,3,3,1,2,2,1,1,5,5,5,5,4,11,5,1
893,247162.327,4058755.712,5,3,2,2,4,2,3,1,5,5,5,5,5,4,11,5,1
801,217620.5591,4058751.843,3,2,9,3,5,4,3,4,5,4,1,4,1,1,12,5,1
920,227922.9087,4065207.329,4,5,8,1,1,5,2,2,1,3,3,4,4,5,12,5,1
820,228652.8308,4063147.658,4,5,1,1,1,5,2,5,1,4,5,4,4,5,12,5,1
524,235873.9063,4070820.656,5,5,8,3,1,4,2,2,5,5,5,4,4,4,12,5,1
721,247517.3601,4058992.144,5,3,6,2,5,2,2,1,5,5,5,5,5,4,12,5,1
847,312431.9695,4112984.124,5,5,8,3,1,3,2,5,4,1,2,1,5,4,13,5,1
593,302289.4243,4079232.634,5,5,4,2,1,5,2,5,1,2,4,1,3,5,13,5,1
894,334366.6409,4087304.311,4,5,6,2,1,5,2,5,3,2,4,1,3,6,13,5,1
578,335053.1239,4089510.752,5,5,8,2,1,5,2,5,3,1,5,1,5,4,13,5,1
561,318204.2089,4104778.874,5,5,8,1,1,1,2,5,1,2,5,1,5,4,13,5,1
814,273968.1898,4092799.453,4,5,8,2,4,1,2,5,3,5,4,2,5,5,13,5,1
839,266644.94,4105521.713,5,5,8,2,1,4,2,1,4,5,5,2,5,4,13,5,1
840,267595.5292,4105032.862,5,5,6,1,5,4,2,2,1,5,3,3,5,4,13,5,1
993,229326.3349,4046649.246,5,5,8,1,1,5,2,1,1,3,5,3,4,3,13,5,1
653,229860.2121,4063603.135,4,5,2,2,1,5,2,5,4,3,1,4,4,5,13,5,1
858,232226.4726,4066151.527,4,5,1,2,1,4,2,5,3,3,1,4,4,4,13,5,1
921,226767.435,4064040.746,4,5,1,2,1,5,2,2,5,4,1,4,4,5,13,5,1
732,227699.8174,4064443.054,4,5,5,3,1,5,2,2,1,4,2,4,4,5,13,5,1
667,230064.742,4063781.859,4,5,2,3,1,5,2,5,1,3,3,4,4,5,13,5,1
603,232099.4618,4066062.975,4,5,3,1,1,4,2,5,5,3,3,4,4,4,13,5,1
881,225972.8325,4064837.524,4,5,6,3,1,5,2,2,5,4,4,4,4,5,13,5,1
627,256886.0822,4119433.061,2,4,4,2,1,3,5,2,1,2,5,4,5,5,13,5,1
853,239604.2356,4060401.127,4,4,3,3,1,4,2,2,1,3,5,4,5,4,13,5,1
677,233342.325,4065283.583,4,3,1,3,1,4,2,5,1,3,5,4,4,4,13,5,1
906,233778.6043,4064930.655,4,5,1,3,1,4,2,5,4,3,5,4,4,6,13,5,1
730,230953.0998,4057243.37,5,5,6,3,1,3,2,2,1,4,5,4,4,5,13,5,1
564,227061.6962,4063136.45,4,3,6,1,1,5,2,2,1,4,5,4,4,5,13,5,1
554,227770.072,4062743.66,4,5,7,3,1,5,2,5,1,4,5,4,4,5,13,5,1
668,228605.1699,4063210.815,4,5,1,2,1,5,2,5,4,4,5,4,4,5,13,5,1
695,226689.2974,4063148.328,4,5,9,3,1,5,2,2,5,4,5,4,4,5,13,5,1
741,241478.1862,4060714.593,5,3,2,3,1,4,1,1,1,5,5,4,5,4,13,5,1
946,276350.711,4114512.743,1,5,7,2,1,5,2,5,5,3,5,1,5,5,14,5,1
587,304869.0295,4112600.842,3,5,6,3,1,3,2,5,1,2,1,1,5,4,15,5,1
519,312751.3392,4110695.19,2,5,4,2,1,3,2,5,4,2,1,1,5,4,15,5,1
531,310639.9249,4111235.69,3,4,1,1,1,1,2,5,5,2,2,1,5,4,15,5,1
