Soil_evaporation,Soil_evaporation variance,Soil_evaporation median,Lakes,Lakes entropy,Lakes mode,landcover entropy,landcover mode,Precipitation,Precipitation variance,Precipitation median,Soil_moisture,Soil_moisture variance,Soil_moisture median,NDVI,NDVI variance,NDVI median,Elevation,Elevation variance,Elevation median,soil_type entropy,soil_type mode,Aspect,Aspect variance,Aspect median,Curvature,Curvature variance,Curvature median,Plan_curvature,Plan_curvature variance,Plan_curvature median,Profile_curvature,Profile_curvature variance,Profile_curvature median,Distance_to_river,Distance_to_river variance,Distance_to_river median,Slope,Slope variance,Slope median,dust_storm,X,Y,Bare_Soil,Cropland,Natural_vegetation,Clay_Loam,Loam,Loam_Sand,Sand,Sand_Clay_Loam,Sand_Loam
0.5747826,0.00016849000530783087,0.57,0,-0.0,0,0.9633355456726841,1,311.42325,0.0,311.42325,0.16352011,1.300999974773731e-05,0.16677587,0.10515,7.708e-05,0.10855,367,141.79591837,363.0,0.8567142052991898,9,12.449996,13966.3125,228.87852,1239202.9,164018190000000.0,2478405.8,-4932466.0,52137103000000.0,-988013.1,-3693263.0,58183075000000.0,1053322.5,9.546739,3.829514,9.546739,0.5630172,0.03032619,0.46191815,0,38.954979645122634,35.845154971363016,False,False,True,False,False,False,False,False,True
0.22652175,9.699999736767495e-07,0.2273913,0,-0.0,0,-0.0,6,62.611664,0.0,62.611664,0.1295546,4.5310000132303685e-05,0.13101149,0.1151,2.451e-05,0.12065,601,92.46480633,608.0,0.5916727785823275,12,18.434948,11603.027,131.12148,-7435217.5,181953200000000.0,-7435217.5,1239202.9,51423700000000.0,3221927.5,-6196014.5,64537380000000.0,-869473.5,265.94135,5.4553165,265.94135,0.08520806,0.03123666,0.33732468,0,40.95170241864865,31.772754989339916,True,False,False,False,False,True,False,False,False
0.31913042,9.590000445314217e-06,0.32108694,0,-0.0,0,0.5363596511250623,6,163.69823,0.9519936,163.69823,0.12854597,2.6230000003124587e-05,0.13318104,0.1301,1.801e-05,0.1278,466,31.818409,472.0,1.397060256877317,11,84.17366,13767.175,101.30993,-9913623.0,39800866000000.0,-1239202.9,9913623.0,23933907000000.0,619601.44,-0.0,5154685000000.0,267069.6,109.891205,5.4934754,109.891205,0.29642707,0.01271275,0.15733966,0,41.2118220037258,33.354396381475354,True,False,False,False,False,True,False,False,False
0.5576087,0.0009801499545574188,0.57086957,0,-0.0,0,-0.0,1,523.0483,50.504852,523.8187,0.2077385,0.00012378999963402748,0.19344252,0.2701,0.00104437,0.21435,1338,60745.76593086,1338.0,0.9996995428565171,4,13.065221,14135.919,212.47119,-244122980.0,1.0432998e+17,-85505000.0,194153980.0,4.9708783e+16,89888630.0,-49968996.0,2.8046188e+16,-23804286.0,14.3201065,5.010627,14.3201065,12.5544615,26.071981,8.993155,0,45.18154861374323,35.991889835263606,False,False,True,False,True,False,False,False,False
0.45086956,0.01404528971761465,0.43826088,0,-0.0,0,0.40790598013897633,3,415.08792,198.61462,415.08792,0.18940805,4.216000161250122e-05,0.18475576,0.2586,0.00057978,0.23225,350,71.0487297,354.0,0.2460225782203316,4,170.21759,2938.0537,189.63754,-4956811.5,46068717000000.0,-2478405.8,-1437475.4,10884438000000.0,1239202.9,-6394287.0,20688900000000.0,-857909.7,17.210627,4.512587,17.210627,0.2002951,0.00992136,0.27035734,0,42.39456278689408,36.718490646767385,False,True,False,True,False,False,False,False,False
0.6667391,0.006274629849940538,0.6852174,0,-0.0,0,0.14372616993938178,1,798.1436,200.51181,798.1436,0.24668391,0.0001037499969243072,0.24668679,0.2378,0.00106872,0.2179,2132,75023.20949604,1950.0,0.14372616993938178,7,227.78987,6383.7573,241.70488,271385440.0,7.46379e+16,63199348.0,-15457972.0,2.3656562e+16,-13674879.0,255927460.0,2.5786515e+16,33624010.0,9.546739,5.5800133,9.546739,8.951443,7.023857,8.201801,0,40.87432255946525,38.79518907216866,False,False,True,False,True,False,False,False,False
0.35434783,0.0006024200120009482,0.38423914,0,-0.0,0,1.29832083155414,1,206.50415,77.419266,193.7575,0.15074714,5.081999916001223e-05,0.15515517,0.14625,0.00042317,0.14625,8,0.29654311,8.0,1.864467508805019,7,18.434948,10466.42,90.0,1239202.9,3447318600000.0,0.0,-1239202.9,786519500000.0,0.0,-0.0,479522720000.0,0.0,9.546739,4.4185467,9.546739,0.022239303,0.00015559,0.019146891,0,46.805000982586535,31.90432869466469,False,True,False,False,True,False,False,False,False
0.3526087,8.196999988285825e-05,0.35413045,0,-0.0,0,0.9113423759758417,6,136.73524,42.89738,143.74469,0.14429024,4.3230000301264226e-05,0.13711494,0.1602,0.00032779,0.13575,9,0.7755102,8.0,1.8701852814248374,7,30.963757,5041.8066,63.434948,1239202.9,4074104000000.0,0.0,-495681.16,1072036200000.0,0.0,743521.75,1285143100000.0,0.0,33.752815,5.2753863,33.752815,0.04146145,9.686e-05,0.028283142,0,46.79618200649657,31.573046005900764,False,False,True,False,True,False,False,False,False
0.38543478,2.0769999537151307e-05,0.38391304,0,-0.0,0,-0.0,6,147.05505,123.16636,147.05505,0.14203735,3.184000161127187e-05,0.1426293,0.10555,7.912e-05,0.10635,665,98.36568097,663.0,1.11840518530523,12,310.51538,16530.85,91.7357,-0.0,319577340000000.0,6196014.5,1858804.4,107938120000000.0,-3036047.0,1858804.4,112319160000000.0,1734884.1,147.43451,4.570698,147.43451,0.4634073,0.01826936,0.33699438,0,39.631631216056604,33.69582802447434,True,False,False,False,False,True,False,False,False
0.7228889,0.004072010051459074,0.6473913,0,-0.0,0,0.5916727785823275,1,717.0004,0.0,717.0004,0.25338507,0.00014253999688662589,0.24006179,0.4464,0.00654964,0.30915,1310,115630.31320283,1575.0,0.14372616993938178,7,353.32483,8756.043,129.68834,-462222700.0,1.9874609e+17,12392029.0,368333700.0,9.982308e+16,58222564.0,-93889000.0,3.786517e+16,60224836.0,19.093477,7.1363397,19.093477,7.0229607,24.615778,10.354229,0,42.360715569116735,38.12958390458624,False,False,True,False,True,False,False,False,False
0.5071739,0.0024312299210578203,0.43130434,0,-0.0,0,-0.0,3,466.985,0.0,466.985,0.18623276,4.140999953961e-05,0.18522127,0.3917,0.00253339,0.3037,429,87.42107455,431.0,0.8346482851813828,4,68.498566,1644.5486,149.93141,-4956811.5,107049810000000.0,-1239202.9,-4038092.2,41380915000000.0,-9.52459e-12,-8994904.0,34576288000000.0,-1372655.5,41.06207,5.9614983,38.484127,0.19931154,0.01595998,0.34539968,0,40.3551002439438,37.04439723450705,False,True,False,True,False,False,False,False,False
0.22717391,1.6989999494398944e-05,0.22782609,0,-0.0,0,-0.0,6,129.58012,27.103067,123.962524,0.124204025,4.83900003018789e-05,0.1281954,0.07865,1.179e-05,0.0772,47,103.89337776,48.0,0.2460225782203316,12,293.19858,6797.8374,266.49646,-8674420.0,258108910000000.0,-2478405.8,8922261.0,111570990000000.0,2383082.5,247840.58,57320300000000.0,-445556.1,51.41076,6.115776,51.41076,0.16414733,0.03835064,0.31579325,0,46.19994487844457,30.48040684211752,True,False,False,False,False,False,True,False,False
0.62608695,0.0010820500319823623,0.6165217,0,-0.0,0,-0.0,1,598.9292,14.678714,598.9292,0.19522128,5.008000152884051e-05,0.18748276,0.2537,0.00055236,0.2378,1182,14361.32611412,1091.0,0.9996995428565171,4,12.33453,17197.97,73.82132,154900370.0,1.5874214e+16,-7435217.5,-102919290.0,4890354500000000.0,-16664130.0,51981076.0,5011421000000000.0,-17008198.0,10.673577,5.9179387,10.673577,5.668891,2.4002163,3.17147,0,41.675575496712845,37.622668092627066,False,False,True,False,True,False,False,False,False
